trackname,composer,milliseconds,bytes,unitprice,albumtitle,artistname,mediatypename,genrename,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,invoicetotal,customerfirstname,customerlastname,customeraddress,customercity,customerstate,customercountry,invoicelinequantity,invoicelineunitprice,Day,Month,Year
Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,0.99,Black Sabbath Vol. 4 (Remaster),Black Sabbath,MPEG audio file,Metal,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Bowels Of The Devil,unknown,223216,7324125,0.99,Body Count,Body Count,MPEG audio file,Alternative & Punk,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Body Count Anthem,unknown,166426,5463690,0.99,Body Count,Body Count,MPEG audio file,Alternative & Punk,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Jerusalem,Roy Z,402390,13194463,0.99,Chemical Wedding,Bruce Dickinson,MPEG audio file,Metal,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
When My Left Eye Jumps,Al Perkins/Willie Dixon,235311,7685363,0.99,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,MPEG audio file,Blues,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Meditação,Tom Jobim - Newton Mendoça,148793,4865597,0.99,Prenda Minha,Caetano Veloso,MPEG audio file,Latin,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
Esse Cara,Caetano Veloso,223111,7217126,0.99,Prenda Minha,Caetano Veloso,MPEG audio file,Latin,2021-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,1,2021
"Bye, Bye Brasil",unknown,283402,9499590,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-01-19,Berger Straße 10,Frankfurt,unknown,Germany,60316,0.99,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,19,1,2021
Atras Da Porta,unknown,189675,6132843,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-01,Barbarossastraße 19,Berlin,unknown,Germany,10779,1.98,Niklas,Schröder,Barbarossastraße 19,Berlin,unknown,Germany,1,0.99,1,2,2021
Tatuagem,unknown,172120,5645703,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-01,Barbarossastraße 19,Berlin,unknown,Germany,10779,1.98,Niklas,Schröder,Barbarossastraße 19,Berlin,unknown,Germany,1,0.99,1,2,2021
Morena De Angola,unknown,186801,6373932,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-01,"8, Rue Hanovre",Paris,unknown,France,75002,1.98,Dominique,Lefebvre,"8, Rue Hanovre",Paris,unknown,France,1,0.99,1,2,2021
A Banda,unknown,132493,4349539,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-01,"8, Rue Hanovre",Paris,unknown,France,75002,1.98,Dominique,Lefebvre,"8, Rue Hanovre",Paris,unknown,France,1,0.99,1,2,2021
Com Açúcar E Com Afeto,unknown,175386,5846442,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-02,"9, Place Louis Barthou",Bordeaux,unknown,France,33000,3.96,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,unknown,France,1,0.99,2,2,2021
Meu Caro Amigo,unknown,260257,8778172,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-02,"9, Place Louis Barthou",Bordeaux,unknown,France,33000,3.96,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,unknown,France,1,0.99,2,2,2021
Trocando Em Miúdos,unknown,169717,5461468,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-02,"9, Place Louis Barthou",Bordeaux,unknown,France,33000,3.96,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,unknown,France,1,0.99,2,2,2021
Gota D'água,unknown,153208,5074189,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-02-02,"9, Place Louis Barthou",Bordeaux,unknown,France,33000,3.96,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,unknown,France,1,0.99,2,2,2021
Etnia,Chico Science,152555,5061413,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Samba Do Lado,Chico Science,227317,7541688,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Sobremesa,Chico Science,240091,7960868,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Sangue De Bairro,Chico Science,132231,4415557,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Amor De Muito,Chico Science,175333,5881293,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Maracatu Atômico [Trip Hop],Chico Science,221492,7380787,0.99,Afrociberdelia,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-03,3 Chatham Street,Dublin,Dublin,Ireland,0,5.94,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,3,2,2021
Samba Makossa,unknown,271856,9095410,0.99,Da Lama Ao Caos,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Lixo Do Mangue,unknown,193253,6534200,0.99,Da Lama Ao Caos,Chico Science & Nação Zumbi,MPEG audio file,Latin,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Firmamento,Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers,222145,7402658,0.99,Acústico MTV [Live],Cidade Negra,MPEG audio file,Reggae,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Já Foi,Bino Farias/Da Gama/Lazão/Toni Garrido,221544,7388466,0.99,Acústico MTV [Live],Cidade Negra,MPEG audio file,Reggae,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazão,231392,7663348,0.99,Acústico MTV [Live],Cidade Negra,MPEG audio file,Reggae,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Firmamento,Harry Lawes/Winston Foster-Vers,225488,7507866,0.99,Cidade Negra - Hits,Cidade Negra,MPEG audio file,Reggae,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Sábado A Noite,Lulu Santos,267363,8895073,0.99,Cidade Negra - Hits,Cidade Negra,MPEG audio file,Reggae,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Linha Do Equador,unknown,244715,8123466,0.99,Na Pista,Cláudio Zoli,MPEG audio file,Latin,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Livre Pra Viver,unknown,214595,7111596,0.99,Na Pista,Cláudio Zoli,MPEG audio file,Latin,2021-02-06,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,8.91,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,6,2,2021
Lavadeira,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",214256,7254147,0.99,Axé Bahia 2001,Various Artists,MPEG audio file,Pop,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Dazed and Confused,Jimmy Page,401920,13035765,0.99,BBC Sessions [Disc 1] [Live],Led Zeppelin,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
You Shook Me(2),J B Lenoir/Willie Dixon,619467,20138673,0.99,BBC Sessions [Disc 1] [Live],Led Zeppelin,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Man With The Woman Head,Don Van Vliet,88894,2922044,0.99,Bongo Fury,Frank Zappa & Captain Beefheart,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Leandro De Itaquera 2001,unknown,274808,9451845,0.99,Carnaval 2001,Various Artists,MPEG audio file,Soundtrack,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Vôo Sobre o Horizonte,J.r.Bertami/Parana,225097,7528825,0.99,Chill: Brazil (Disc 1),Marcos Valle,MPEG audio file,Latin,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
All Star,Nando Reis,176326,5891697,0.99,Chill: Brazil (Disc 1),Marcos Valle,MPEG audio file,Latin,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Tanto Tempo,Vários,170292,5572240,0.99,Chill: Brazil (Disc 2),Antônio Carlos Jobim,MPEG audio file,Latin,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Bumbo Da Mangueira,Vários,270158,9073350,0.99,Chill: Brazil (Disc 2),Antônio Carlos Jobim,MPEG audio file,Latin,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Die Die My Darling,Danzig,149315,4867667,0.99,Garage Inc. (Disc 1),Metallica,MPEG audio file,Metal,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Radio GA GA,Roger Taylor,343745,11358573,0.99,Greatest Hits II,Queen,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
I'm Going Slightly Mad,Queen,248032,8192339,0.99,Greatest Hits II,Queen,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Sure Know Something,"Paul Stanley, Vincent Poncia",242468,7939886,0.99,Greatest Kiss,Kiss,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
God Of Thunder,Paul Stanley,255791,8309077,0.99,Greatest Kiss,Kiss,MPEG audio file,Rock,2021-02-11,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,13.86,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,11,2,2021
Valentino's,unknown,296124,9848545,0.99,Heart of the Night,Spyro Gyra,MPEG audio file,Jazz,2021-02-19,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99,Frank,Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,1,0.99,19,2,2021
Believe,unknown,310778,10317185,0.99,Heart of the Night,Spyro Gyra,MPEG audio file,Jazz,2021-03-04,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,4,3,2021
As We Sleep,unknown,316865,10429398,0.99,Heart of the Night,Spyro Gyra,MPEG audio file,Jazz,2021-03-04,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,4,3,2021
J Squared,unknown,288757,9480777,0.99,Heart of the Night,Spyro Gyra,MPEG audio file,Jazz,2021-03-04,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,Tim,Goyer,1 Infinite Loop,Cupertino,CA,USA,1,0.99,4,3,2021
Maria,Billie Joe Armstrong -Words Green Day -Music,167262,5484747,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-04,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,Tim,Goyer,1 Infinite Loop,Cupertino,CA,USA,1,0.99,4,3,2021
Longview,Billie Joe Armstrong -Words Green Day -Music,234083,7714939,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,Kathy,Chase,801 W 4th Street,Reno,NV,USA,1,0.99,5,3,2021
Basket Case,Billie Joe Armstrong -Words Green Day -Music,181629,5951736,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,Kathy,Chase,801 W 4th Street,Reno,NV,USA,1,0.99,5,3,2021
She,Billie Joe Armstrong -Words Green Day -Music,134164,4425128,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,Kathy,Chase,801 W 4th Street,Reno,NV,USA,1,0.99,5,3,2021
Geek Stink Breath,Billie Joe Armstrong -Words Green Day -Music,135888,4408983,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,Kathy,Chase,801 W 4th Street,Reno,NV,USA,1,0.99,5,3,2021
Stuck With Me,Billie Joe Armstrong -Words Green Day -Music,135523,4431357,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
Nice Guys Finish Last,Billie Joe Armstrong -Words Green Day -Music,170187,5604618,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
Macy's Day Parade,Billie Joe Armstrong -Words Green Day -Music,213420,7075573,0.99,International Superhits,Green Day,MPEG audio file,Alternative & Punk,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
Don't You Cry,David Coverdale,347036,11269612,0.99,Into The Light,David Coverdale,MPEG audio file,Rock,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
Living On Love,Bossi/David Coverdale/Earl Slick,391549,12785876,0.99,Into The Light,David Coverdale,MPEG audio file,Rock,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
Wherever You May Go,David Coverdale,239699,7803074,0.99,Into The Light,David Coverdale,MPEG audio file,Rock,2021-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,Victor,Stevens,319 N. Frances Street,Madison,WI,USA,1,0.99,6,3,2021
"Diga Lá, Coração",unknown,255921,8280636,0.99,Meus Momentos,Gonzaguinha,MPEG audio file,Latin,2021-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,Martha,Silk,194A Chain Lake Drive,Halifax,NS,Canada,1,0.99,9,3,2021
Comportamento Geral,Gonzaga Jr,181577,5997444,0.99,Meus Momentos,Gonzaguinha,MPEG audio file,Latin,2021-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,Martha,Silk,194A Chain Lake Drive,Halifax,NS,Canada,1,0.99,9,3,2021
Podres Poderes,unknown,259761,8622495,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,Martha,Silk,194A Chain Lake Drive,Halifax,NS,Canada,1,0.99,9,3,2021
Queixa,unknown,299676,9953962,0.99,Minha Historia,Chico Buarque,MPEG audio file,Latin,2021-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,Martha,Silk,194A Chain Lake Drive,Halifax,NS,Canada,1,0.99,9,3,2021
Ando Meio Desligado,Arnaldo Baptista - Rita Lee -  Sérgio Dias,287817,9484504,0.99,Minha História,Os Mutantes,MPEG audio file,Alternative & Punk,2021-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,Martha,Silk,194A Chain Lake Drive,Halifax,NS,Canada,1,0.99,9,3,2021
