"trackid","trackname","albumid","composer","milliseconds","bytes","unitprice","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","invoiceid","customerid","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","customerfirstname","customerlastname","customeraddress","customercity","customerstate","customercountry","invoicelinequantity","invoicelineunitprice"
99,"Your Time Has Come",11,"Cornell, Commerford, Morello, Wilk",255529,8273592,"0.99","Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
108,"Dandelion",11,"Cornell, Commerford, Morello, Wilk",278125,9003592,"0.99","Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
117,"Rock 'N' Roll Music",12,"Chuck Berry",141923,2276788,"0.99","BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
126,"Moon germs",13,"Billy Cobham",294060,9714812,"0.99","The Best Of Billy Cobham",10,"Billy Cobham",1,"MPEG audio file",2,"Jazz",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
135,"Super Terrorizer",14,NULL,319373,10513905,"0.99","Alcohol Fueled Brewtality Live! [Disc 1]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
144,"Heart Of Gold",15,NULL,194873,6417460,"0.99","Alcohol Fueled Brewtality Live! [Disc 2]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
153,"Evil Woman",16,NULL,204930,6655170,"0.99","Black Sabbath",12,"Black Sabbath",1,"MPEG audio file",3,"Metal",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
162,"Cornucopia",17,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,"0.99","Black Sabbath Vol. 4 (Remaster)",12,"Black Sabbath",1,"MPEG audio file",3,"Metal",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
171,"Bowels Of The Devil",18,NULL,223216,7324125,"0.99","Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
180,"Body Count Anthem",18,NULL,166426,5463690,"0.99","Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
189,"Jerusalem",19,"Roy Z",402390,13194463,"0.99","Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
198,"When My Left Eye Jumps",20,"Al Perkins/Willie Dixon",235311,7685363,"0.99","The Best Of Buddy Guy - The Millenium Collection",15,"Buddy Guy",1,"MPEG audio file",6,"Blues",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
207,"Meditação",21,"Tom Jobim - Newton Mendoça",148793,4865597,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
216,"Esse Cara",21,"Caetano Veloso",223111,7217126,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",5,23,"2021-01-11 00:00:00","69 Salem Street","Boston","MA","USA","2113","13.86","John","Gordon","69 Salem Street","Boston","MA","USA",1,"0.99"
230,"Bye, Bye Brasil",23,NULL,283402,9499590,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",6,37,"2021-01-19 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","0.99","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"0.99"
231,"Atras Da Porta",23,NULL,189675,6132843,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",7,38,"2021-02-01 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","1.98","Niklas","Schröder","Barbarossastraße 19","Berlin",NULL,"Germany",1,"0.99"
232,"Tatuagem",23,NULL,172120,5645703,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",7,38,"2021-02-01 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","1.98","Niklas","Schröder","Barbarossastraße 19","Berlin",NULL,"Germany",1,"0.99"
234,"Morena De Angola",23,NULL,186801,6373932,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",8,40,"2021-02-01 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","1.98","Dominique","Lefebvre","8, Rue Hanovre","Paris",NULL,"France",1,"0.99"
236,"A Banda",23,NULL,132493,4349539,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",8,40,"2021-02-01 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","1.98","Dominique","Lefebvre","8, Rue Hanovre","Paris",NULL,"France",1,"0.99"
238,"Com Açúcar E Com Afeto",23,NULL,175386,5846442,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",9,42,"2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"0.99"
240,"Meu Caro Amigo",23,NULL,260257,8778172,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",9,42,"2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"0.99"
242,"Trocando Em Miúdos",23,NULL,169717,5461468,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",9,42,"2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"0.99"
244,"Gota D'água",23,NULL,153208,5074189,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",9,42,"2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"0.99"
248,"Etnia",24,"Chico Science",152555,5061413,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
252,"Samba Do Lado",24,"Chico Science",227317,7541688,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
256,"Sobremesa",24,"Chico Science",240091,7960868,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
260,"Sangue De Bairro",24,"Chico Science",132231,4415557,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
264,"Amor De Muito",24,"Chico Science",175333,5881293,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
268,"Maracatu Atômico [Trip Hop]",24,"Chico Science",221492,7380787,"0.99","Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",10,46,"2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
274,"Samba Makossa",25,NULL,271856,9095410,"0.99","Da Lama Ao Caos",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
280,"Lixo Do Mangue",25,NULL,193253,6534200,"0.99","Da Lama Ao Caos",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
286,"Firmamento",26,"Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers",222145,7402658,"0.99","Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
292,"Já Foi",26,"Bino Farias/Da Gama/Lazão/Toni Garrido",221544,7388466,"0.99","Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
298,"A Cor Do Sol",26,"Bernardo Vilhena/Da Gama/Lazão",231392,7663348,"0.99","Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
304,"Firmamento",27,"Harry Lawes/Winston Foster-Vers",225488,7507866,"0.99","Cidade Negra - Hits",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
310,"Sábado A Noite",27,"Lulu Santos",267363,8895073,"0.99","Cidade Negra - Hits",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
316,"Linha Do Equador",28,NULL,244715,8123466,"0.99","Na Pista",20,"Cláudio Zoli",1,"MPEG audio file",7,"Latin",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
322,"Livre Pra Viver",28,NULL,214595,7111596,"0.99","Na Pista",20,"Cláudio Zoli",1,"MPEG audio file",7,"Latin",11,52,"2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91","Emma","Jones","202 Hoxton Street","London",NULL,"United Kingdom",1,"0.99"
331,"Lavadeira",29,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",214256,7254147,"0.99","Axé Bahia 2001",21,"Various Artists",1,"MPEG audio file",9,"Pop",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
340,"Dazed and Confused",30,"Jimmy Page",401920,13035765,"0.99","BBC Sessions [Disc 1] [Live]",22,"Led Zeppelin",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
349,"You Shook Me(2)",30,"J B Lenoir/Willie Dixon",619467,20138673,"0.99","BBC Sessions [Disc 1] [Live]",22,"Led Zeppelin",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
358,"Man With The Woman Head",31,"Don Van Vliet",88894,2922044,"0.99","Bongo Fury",23,"Frank Zappa & Captain Beefheart",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
367,"Leandro De Itaquera 2001",32,NULL,274808,9451845,"0.99","Carnaval 2001",21,"Various Artists",1,"MPEG audio file",10,"Soundtrack",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
376,"Vôo Sobre o Horizonte",33,"J.r.Bertami/Parana",225097,7528825,"0.99","Chill: Brazil (Disc 1)",24,"Marcos Valle",1,"MPEG audio file",7,"Latin",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
385,"All Star",33,"Nando Reis",176326,5891697,"0.99","Chill: Brazil (Disc 1)",24,"Marcos Valle",1,"MPEG audio file",7,"Latin",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
394,"Tanto Tempo",34,"Vários",170292,5572240,"0.99","Chill: Brazil (Disc 2)",6,"Antônio Carlos Jobim",1,"MPEG audio file",7,"Latin",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
403,"Bumbo Da Mangueira",34,"Vários",270158,9073350,"0.99","Chill: Brazil (Disc 2)",6,"Antônio Carlos Jobim",1,"MPEG audio file",7,"Latin",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
412,"Die Die My Darling",35,"Danzig",149315,4867667,"0.99","Garage Inc. (Disc 1)",50,"Metallica",1,"MPEG audio file",3,"Metal",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
421,"Radio GA GA",36,"Roger Taylor",343745,11358573,"0.99","Greatest Hits II",51,"Queen",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
430,"I'm Going Slightly Mad",36,"Queen",248032,8192339,"0.99","Greatest Hits II",51,"Queen",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
439,"Sure Know Something",37,"Paul Stanley, Vincent Poncia",242468,7939886,"0.99","Greatest Kiss",52,"Kiss",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
448,"God Of Thunder",37,"Paul Stanley",255791,8309077,"0.99","Greatest Kiss",52,"Kiss",1,"MPEG audio file",1,"Rock",12,2,"2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
462,"Valentino's",38,NULL,296124,9848545,"0.99","Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",13,16,"2021-02-19 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","0.99","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
463,"Believe",38,NULL,310778,10317185,"0.99","Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",14,17,"2021-03-04 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","1.98","Jack","Smith","1 Microsoft Way","Redmond","WA","USA",1,"0.99"
464,"As We Sleep",38,NULL,316865,10429398,"0.99","Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",14,17,"2021-03-04 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","1.98","Jack","Smith","1 Microsoft Way","Redmond","WA","USA",1,"0.99"
466,"J Squared",38,NULL,288757,9480777,"0.99","Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",15,19,"2021-03-04 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98","Tim","Goyer","1 Infinite Loop","Cupertino","CA","USA",1,"0.99"
468,"Maria",39,"Billie Joe Armstrong -Words Green Day -Music",167262,5484747,"0.99","International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk",15,19,"2021-03-04 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98","Tim","Goyer","1 Infinite Loop","Cupertino","CA","USA",1,"0.99"
470,"Longview",39,"Billie Joe Armstrong -Words Green Day -Music",234083,7714939,"0.99","International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk",16,21,"2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96","Kathy","Chase","801 W 4th Street","Reno","NV","USA",1,"0.99"
472,"Basket Case",39,"Billie Joe Armstrong -Words Green Day -Music",181629,5951736,"0.99","International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk",16,21,"2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96","Kathy","Chase","801 W 4th Street","Reno","NV","USA",1,"0.99"
