"trackid","trackname","albumid","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","composer","milliseconds","bytes","unitprice","invoiceid","customerid","customerfirstname","customerlastname","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","invoicelinequantity","invoicelineunitprice"
232,"Tatuagem",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,172120,5645703,"0.99",7,38,"Niklas","Schröder","2021-02-01 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","1.98",1,"0.99"
234,"Morena De Angola",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,186801,6373932,"0.99",8,40,"Dominique","Lefebvre","2021-02-01 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","1.98",1,"0.99"
236,"A Banda",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,132493,4349539,"0.99",8,40,"Dominique","Lefebvre","2021-02-01 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","1.98",1,"0.99"
238,"Com Açúcar E Com Afeto",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,175386,5846442,"0.99",9,42,"Wyatt","Girard","2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96",1,"0.99"
240,"Meu Caro Amigo",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,260257,8778172,"0.99",9,42,"Wyatt","Girard","2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96",1,"0.99"
242,"Trocando Em Miúdos",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,169717,5461468,"0.99",9,42,"Wyatt","Girard","2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96",1,"0.99"
244,"Gota D'água",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,153208,5074189,"0.99",9,42,"Wyatt","Girard","2021-02-02 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.96",1,"0.99"
248,"Etnia",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",152555,5061413,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
252,"Samba Do Lado",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",227317,7541688,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
256,"Sobremesa",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",240091,7960868,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
260,"Sangue De Bairro",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",132231,4415557,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
264,"Amor De Muito",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",175333,5881293,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
268,"Maracatu Atômico [Trip Hop]",24,"Afrociberdelia",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin","Chico Science",221492,7380787,"0.99",10,46,"Hugh","O'Reilly","2021-02-03 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"5.94",1,"0.99"
274,"Samba Makossa",25,"Da Lama Ao Caos",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",NULL,271856,9095410,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
280,"Lixo Do Mangue",25,"Da Lama Ao Caos",18,"Chico Science & Nação Zumbi",1,"MPEG audio file",7,"Latin",NULL,193253,6534200,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
286,"Firmamento",26,"Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae","Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers",222145,7402658,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
292,"Já Foi",26,"Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae","Bino Farias/Da Gama/Lazão/Toni Garrido",221544,7388466,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
298,"A Cor Do Sol",26,"Acústico MTV [Live]",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae","Bernardo Vilhena/Da Gama/Lazão",231392,7663348,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
304,"Firmamento",27,"Cidade Negra - Hits",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae","Harry Lawes/Winston Foster-Vers",225488,7507866,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
310,"Sábado A Noite",27,"Cidade Negra - Hits",19,"Cidade Negra",1,"MPEG audio file",8,"Reggae","Lulu Santos",267363,8895073,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
316,"Linha Do Equador",28,"Na Pista",20,"Cláudio Zoli",1,"MPEG audio file",7,"Latin",NULL,244715,8123466,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
322,"Livre Pra Viver",28,"Na Pista",20,"Cláudio Zoli",1,"MPEG audio file",7,"Latin",NULL,214595,7111596,"0.99",11,52,"Emma","Jones","2021-02-06 00:00:00","202 Hoxton Street","London",NULL,"United Kingdom","N1 5LH","8.91",1,"0.99"
331,"Lavadeira",29,"Axé Bahia 2001",21,"Various Artists",1,"MPEG audio file",9,"Pop","Do Vale, Valverde/Gal Oliveira/Luciano Pinto",214256,7254147,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
340,"Dazed and Confused",30,"BBC Sessions [Disc 1] [Live]",22,"Led Zeppelin",1,"MPEG audio file",1,"Rock","Jimmy Page",401920,13035765,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
349,"You Shook Me(2)",30,"BBC Sessions [Disc 1] [Live]",22,"Led Zeppelin",1,"MPEG audio file",1,"Rock","J B Lenoir/Willie Dixon",619467,20138673,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
358,"Man With The Woman Head",31,"Bongo Fury",23,"Frank Zappa & Captain Beefheart",1,"MPEG audio file",1,"Rock","Don Van Vliet",88894,2922044,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
367,"Leandro De Itaquera 2001",32,"Carnaval 2001",21,"Various Artists",1,"MPEG audio file",10,"Soundtrack",NULL,274808,9451845,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
376,"Vôo Sobre o Horizonte",33,"Chill: Brazil (Disc 1)",24,"Marcos Valle",1,"MPEG audio file",7,"Latin","J.r.Bertami/Parana",225097,7528825,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
385,"All Star",33,"Chill: Brazil (Disc 1)",24,"Marcos Valle",1,"MPEG audio file",7,"Latin","Nando Reis",176326,5891697,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
394,"Tanto Tempo",34,"Chill: Brazil (Disc 2)",6,"Antônio Carlos Jobim",1,"MPEG audio file",7,"Latin","Vários",170292,5572240,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
403,"Bumbo Da Mangueira",34,"Chill: Brazil (Disc 2)",6,"Antônio Carlos Jobim",1,"MPEG audio file",7,"Latin","Vários",270158,9073350,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
412,"Die Die My Darling",35,"Garage Inc. (Disc 1)",50,"Metallica",1,"MPEG audio file",3,"Metal","Danzig",149315,4867667,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
421,"Radio GA GA",36,"Greatest Hits II",51,"Queen",1,"MPEG audio file",1,"Rock","Roger Taylor",343745,11358573,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
430,"I'm Going Slightly Mad",36,"Greatest Hits II",51,"Queen",1,"MPEG audio file",1,"Rock","Queen",248032,8192339,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
439,"Sure Know Something",37,"Greatest Kiss",52,"Kiss",1,"MPEG audio file",1,"Rock","Paul Stanley, Vincent Poncia",242468,7939886,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
448,"God Of Thunder",37,"Greatest Kiss",52,"Kiss",1,"MPEG audio file",1,"Rock","Paul Stanley",255791,8309077,"0.99",12,2,"Leonie","Köhler","2021-02-11 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","13.86",1,"0.99"
462,"Valentino's",38,"Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",NULL,296124,9848545,"0.99",13,16,"Frank","Harris","2021-02-19 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","0.99",1,"0.99"
463,"Believe",38,"Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",NULL,310778,10317185,"0.99",14,17,"Jack","Smith","2021-03-04 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","1.98",1,"0.99"
464,"As We Sleep",38,"Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",NULL,316865,10429398,"0.99",14,17,"Jack","Smith","2021-03-04 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","1.98",1,"0.99"
466,"J Squared",38,"Heart of the Night",53,"Spyro Gyra",1,"MPEG audio file",2,"Jazz",NULL,288757,9480777,"0.99",15,19,"Tim","Goyer","2021-03-04 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98",1,"0.99"
468,"Maria",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",167262,5484747,"0.99",15,19,"Tim","Goyer","2021-03-04 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98",1,"0.99"
470,"Longview",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",234083,7714939,"0.99",16,21,"Kathy","Chase","2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96",1,"0.99"
472,"Basket Case",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",181629,5951736,"0.99",16,21,"Kathy","Chase","2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96",1,"0.99"
474,"She",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",134164,4425128,"0.99",16,21,"Kathy","Chase","2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96",1,"0.99"
476,"Geek Stink Breath",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",135888,4408983,"0.99",16,21,"Kathy","Chase","2021-03-05 00:00:00","801 W 4th Street","Reno","NV","USA","89503","3.96",1,"0.99"
480,"Stuck With Me",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",135523,4431357,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
484,"Nice Guys Finish Last",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",170187,5604618,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
488,"Macy's Day Parade",39,"International Superhits",54,"Green Day",1,"MPEG audio file",4,"Alternative & Punk","Billie Joe Armstrong -Words Green Day -Music",213420,7075573,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
492,"Don't You Cry",40,"Into The Light",55,"David Coverdale",1,"MPEG audio file",1,"Rock","David Coverdale",347036,11269612,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
496,"Living On Love",40,"Into The Light",55,"David Coverdale",1,"MPEG audio file",1,"Rock","Bossi/David Coverdale/Earl Slick",391549,12785876,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
500,"Wherever You May Go",40,"Into The Light",55,"David Coverdale",1,"MPEG audio file",1,"Rock","David Coverdale",239699,7803074,"0.99",17,25,"Victor","Stevens","2021-03-06 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","5.94",1,"0.99"
506,"Diga Lá, Coração",41,"Meus Momentos",56,"Gonzaguinha",1,"MPEG audio file",7,"Latin",NULL,255921,8280636,"0.99",18,31,"Martha","Silk","2021-03-09 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","8.91",1,"0.99"
512,"Comportamento Geral",41,"Meus Momentos",56,"Gonzaguinha",1,"MPEG audio file",7,"Latin","Gonzaga Jr",181577,5997444,"0.99",18,31,"Martha","Silk","2021-03-09 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","8.91",1,"0.99"
518,"Podres Poderes",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,259761,8622495,"0.99",18,31,"Martha","Silk","2021-03-09 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","8.91",1,"0.99"
524,"Queixa",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,299676,9953962,"0.99",18,31,"Martha","Silk","2021-03-09 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","8.91",1,"0.99"
530,"Ando Meio Desligado",42,"Minha História",57,"Os Mutantes",1,"MPEG audio file",4,"Alternative & Punk","Arnaldo Baptista - Rita Lee -  Sérgio Dias",287817,9484504,"0.99",18,31,"Martha","Silk","2021-03-09 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","8.91",1,"0.99"
